t_us,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
136528596,0.000,0.000,0.0000,-0.0984,0.0000,-0.0049,0.000,32.34,40.0,3,0
136529894,0.000,0.022,0.0000,0.1122,0.0000,-0.0324,0.000,32.34,40.0,3,0
136530575,0.000,0.022,0.0000,0.0633,0.0000,0.0038,0.000,32.34,40.0,3,0
136531574,0.000,0.022,0.0000,-0.0084,0.0000,-0.0225,0.000,32.34,40.0,3,0
136532889,0.000,0.022,0.0000,0.0084,0.0000,-0.0016,0.000,32.34,40.0,3,0
136533571,0.000,0.022,0.0000,0.0557,0.0000,-0.0016,0.000,32.34,40.0,3,0
136534888,0.000,0.000,0.0000,0.0069,0.0000,-0.0005,0.000,32.34,40.0,3,0
136535575,0.000,0.000,0.0000,-0.1274,0.0000,0.0071,0.000,32.34,40.0,3,0
136536896,0.000,0.022,0.0000,0.0084,0.0000,0.0170,0.000,32.34,40.0,3,0
136537575,0.000,0.022,0.0000,0.0725,0.0000,0.0082,0.000,32.34,40.0,3,0
136538587,0.000,0.022,0.0000,0.0191,0.0000,-0.0214,0.000,32.34,40.0,3,0
136539870,0.000,0.022,0.0000,-0.0374,0.0000,0.0225,0.000,32.34,40.0,3,0
136540544,0.000,0.022,0.0000,0.0328,0.0000,-0.0192,0.000,32.34,40.0,3,0
136541599,0.000,0.022,0.0000,-0.0328,0.0000,-0.0214,0.000,32.34,40.0,3,0
136542593,0.000,0.022,0.0000,0.0587,0.0000,0.0181,0.000,32.34,40.0,3,0
136543593,0.000,0.000,0.0000,0.0969,0.0000,0.0258,0.000,32.34,40.0,3,0
136544873,0.000,0.022,0.0000,0.0267,0.0000,0.0115,0.000,32.34,40.0,3,0
136545644,0.000,0.022,0.0000,0.0114,0.0000,-0.0082,0.000,32.34,40.0,3,0
136546584,0.000,0.000,0.0000,0.0404,0.0000,0.0280,0.000,32.34,40.0,3,0
136547543,0.000,0.000,0.0000,-0.0160,0.0000,-0.0049,0.000,32.34,40.0,3,0
136548559,0.000,0.022,0.0000,0.0084,0.0000,-0.0038,0.000,32.34,40.0,3,0
136549870,0.000,0.022,0.0000,0.0191,0.0000,-0.0148,0.000,32.34,40.0,3,0
136550599,0.000,0.000,0.0000,0.0038,0.0000,-0.0016,0.000,32.34,40.0,3,0
136551549,0.000,0.022,0.0000,0.1610,0.0000,-0.0060,0.000,32.34,40.0,3,0
136552878,0.000,0.022,0.0000,0.0572,0.0000,-0.0049,0.000,32.34,40.0,3,0
136553543,0.000,0.022,0.0000,0.0847,0.0000,0.0291,0.000,32.34,40.0,3,0
136554911,0.000,0.022,0.0000,0.1671,0.0000,0.0302,0.000,32.34,40.0,3,0
136555549,0.000,0.022,0.0000,0.1030,0.0000,-0.0126,0.000,32.34,40.0,3,0
136556962,0.000,0.022,0.0000,0.0191,0.0000,0.0027,0.000,32.34,40.0,3,0
136557550,0.000,0.022,0.0000,0.0587,0.0000,0.0148,0.000,32.34,40.0,3,0
136558604,0.000,0.022,0.0000,-0.0359,0.0000,-0.0346,0.000,32.34,40.0,3,0
136559872,0.000,0.022,0.0000,0.1534,0.0000,-0.0335,0.000,32.34,40.0,3,0
136560564,0.000,0.000,0.0000,-0.1366,0.0000,0.0225,0.000,32.34,40.0,3,0
136561547,0.000,0.022,0.0000,0.0145,0.0000,0.0093,0.000,32.34,40.0,3,0
136562593,0.000,0.022,0.0000,0.0908,0.0000,0.0258,0.000,32.34,40.0,3,0
136563548,0.000,0.022,0.0000,-0.0145,0.0000,-0.0104,0.000,32.34,40.0,3,0
136564884,0.000,0.022,0.0000,-0.0389,0.0000,-0.0027,0.000,32.34,40.0,3,0
136565545,0.000,0.000,0.0000,-0.0908,0.0000,-0.0148,0.000,32.34,40.0,3,0
136566678,0.000,0.022,0.0000,0.0572,0.0000,-0.0137,0.000,32.34,40.0,3,0
