t_s,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp
19.339,200,200.317,0,0.0832,0,-0.1049,-0.018,32.2,38
19.359,200,200.317,0,0.0298,0,-0.117,-0.018,32.2,38
19.362,200,200.317,0,0.042,0,-0.1258,-0.018,32.2,38
19.37,200,200.317,0,-0.0557,0,-0.1082,-0.018,32.2,38
19.379,200,200.317,0,-0.042,0,-0.0884,-0.018,32.2,38
19.389,200,200.317,0,0.0175,0,-0.0917,-0.018,32.2,38
19.42,200,200.317,0,-0.0572,0,-0.1159,-0.018,32.2,38
19.431,200,200.317,0,0.0801,0,-0.0939,-0.018,32.2,38
19.441,200,200.317,0,-0.0435,0,-0.1533,-0.018,32.2,38
19.472,200,200.317,0,-0.0191,0,-0.0961,-0.018,32.2,38
19.483,200,200.317,0,0.0496,0,-0.1181,-0.018,32.2,38
19.521,200,200.317,0,-0.0572,0,-0.095,-0.018,32.2,38
19.532,200,200.317,0,-0.0572,0,-0.1038,-0.018,32.2,38
19.542,200,200.317,0,0.0343,0,-0.1148,-0.018,32.2,38
19.573,200,200.317,0,0.074,0,-0.1104,-0.018,32.2,38
19.584,200,200.317,0,0.0496,0,-0.1148,-0.018,32.2,38
19.594,200,200.317,0,0.0755,0,-0.1258,-0.018,32.2,38
19.624,200,200.317,0,0.0053,0,-0.1313,-0.018,32.2,38
19.635,200,200.317,0,-0.016,0,-0.0851,-0.018,32.2,38
19.646,200,200.317,0,-0.0725,0,-0.0972,-0.018,32.2,38
19.676,200,200.317,0,-0.0298,0,-0.117,-0.018,32.2,38
19.687,200,200.317,0,0.1274,0,-0.1588,-0.018,32.2,38
19.698,200,200.339,0,0.1335,0,-0.0895,-0.018,32.2,38
19.729,200,200.317,0,-0.013,0,-0.0972,-0.018,32.2,38
19.74,200,200.317,0,0.0069,0,-0.0862,-0.018,32.2,38
19.778,200,200.317,0,-0.1015,0,-0.0599,-0.018,32.2,38
19.789,200,200.317,0,0.016,0,-0.0928,-0.018,32.2,38
19.799,200,200.317,0,-0.0175,0,-0.1258,-0.018,32.2,38
19.831,200,200.317,0,-0.0603,0,-0.0972,-0.018,32.2,38
19.842,200,200.317,0,0.0618,0,-0.0764,-0.018,32.2,38
19.885,200,200.317,0,-0.071,0,-0.1115,-0.018,32.2,38
19.896,200,200.339,0,0.0511,0,-0.1335,-0.018,32.2,38
19.933,200,200.317,0,-0.1701,0,-0.1093,-0.018,32.2,38
19.944,200,200.317,0,0.0099,0,-0.1071,-0.018,32.2,38
19.953,200,200.317,0,-0.0023,0,-0.1533,-0.018,32.2,38
19.988,200,200.317,0,0.0389,0,-0.1181,-0.018,32.2,38
19.999,200,200.317,0,0.0328,0,-0.117,-0.018,32.2,38
20.035,200,200.317,0,-0.0648,0,-0.0884,-0.018,32.2,38
20.046,200,200.317,0,-0.0404,0,-0.1104,-0.018,32.2,38
20.056,200,200.317,0,-0.0969,0,-0.1302,-0.018,32.2,38
20.087,200,200.317,0,0.0893,0,-0.0698,-0.018,32.2,38
20.098,200,200.317,0,-0.0023,0,-0.128,-0.018,32.2,38
